CARRIER|ORIGIN|REGION,Sum,Count,Mean
C5|GSP|D,1536.000000,4,384.000000
ABX|SCK|D,33476.000000,21,1594.095238
ABX|MHT|D,9873.000000,10,987.300000
ABX|PHX|A,0.000000,1,0.000000
ABX|PDX|P,1975.000000,1,1975.000000
DL|LAX|A,118000.000000,21,5619.047619
UA|AMM|A,65615.000000,11,5965.000000
M6|PHL|D,6614.000000,5,1322.800000
AA|ZRH|A,52458.000000,13,4035.230769
AA|EZE|L,235194.000000,49,4799.877551
AA|AMS|A,87816.000000,21,4181.714286
AA|ANC|P,7232.000000,2,3616.000000
AA|DFW|A,718375.000000,144,4988.715278
AA|LAX|P,215442.000000,33,6528.545455
AA|AKL|P,78096.000000,11,7099.636364
UA|PPT|P,92136.000000,22,4188.000000
AA|NRT|P,130131.000000,21,6196.714286
5X|EMA|A,77568.000000,21,3693.714286
5X|ANC|P,779757.000000,179,4356.184358
5X|CDG|A,42039.000000,11,3821.727273
5X|GYY|D,6350.000000,25,254.000000
5X|TUL|D,16451.000000,35,470.028571
5X|PNS|D,13503.000000,37,364.945946
5X|BIS|D,1048.000000,1,1048.000000
5X|MTY|L,27554.000000,23,1198.000000
5X|EWR|D,82349.000000,113,728.752212
5X|CLE|D,16526.000000,44,375.590909
5X|ABQ|D,61796.000000,90,686.622222
5X|PIT|D,21197.000000,66,321.166667
5X|CLT|D,31077.000000,84,369.964286
5X|BWI|D,27035.000000,70,386.214286
5X|STL|D,16041.000000,52,308.480769
5X|RDU|D,28590.000000,94,304.148936
5X|JAN|D,21742.000000,55,395.309091
5X|IAH|D,92112.000000,148,622.378378
5X|LRD|D,15607.000000,32,487.718750
5X|LBB|D,16705.000000,32,522.031250
5X|RIC|D,34468.000000,99,348.161616
5X|BUF|D,38182.000000,97,393.628866
DL|EDI|A,78273.000000,23,3403.173913
5X|SDQ|L,25388.000000,28,906.714286
5X|RNO|D,75885.000000,82,925.426829
5X|YVR|D,27986.000000,14,1999.000000
5X|OGG|D,4134.000000,15,275.600000
M6|MIA|L,318688.000000,233,1367.759657
M6|SJU|D,51181.000000,31,1651.000000
M6|KIN|L,5860.000000,10,586.000000
M6|CVG|D,18251.000000,20,912.550000
M6|POS|L,21237.000000,14,1516.928571
5X|BOG|L,28614.000000,19,1506.000000
5X|KOA|D,81473.000000,44,1851.659091
5X|LIH|D,30224.000000,19,1590.736842
5X|BOS|D,57606.000000,96,600.062500
5X|OKC|D,20489.000000,45,455.311111
5X|OMA|D,57797.000000,96,602.052083
5X|BOI|D,88837.000000,111,800.333333
5X|SNA|D,27285.000000,15,1819.000000
5X|SDF|L,73833.000000,53,1393.075472
FX|SDF|D,7548.000000,30,251.600000
FX|ELP|D,54582.000000,61,894.786885
FX|SGF|D,3678.000000,13,282.923077
FX|MKE|D,28369.000000,110,257.900000
FX|SAV|D,7361.000000,15,490.733333
FX|DEN|D,84543.000000,97,871.577320
FX|TUS|D,18568.000000,18,1031.555556
FX|CLT|D,11505.000000,27,426.111111
UA|TKK|P,7596.000000,12,633.000000
FX|STL|D,9811.000000,35,280.314286
FX|SJC|D,55641.000000,32,1738.781250
FX|ROA|D,11125.000000,30,370.833333
FX|MSP|D,51453.000000,102,504.441176
FX|GJT|D,12924.000000,25,516.960000
FX|DSM|D,22046.000000,59,373.661017
FX|CID|D,10220.000000,35,292.000000
FX|TYS|D,14533.000000,50,290.660000
