CARRIER|ORIGIN,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
04Q|MLB,34.000000,9,3.777778,72.000000,9,8.000000,9.000000,9,1.000000
04Q|MMN,6.000000,2,3.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|MMU,202.000000,57,3.543860,552.000000,57,9.684211,69.000000,57,1.210526
04Q|MNZ,3.000000,2,1.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|MPV,21.000000,5,4.200000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|MRK,13.000000,3,4.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|MSP,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MSV,11.000000,2,5.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|MT3,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MTH,22.000000,5,4.400000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|MTN,37.000000,12,3.083333,112.000000,12,9.333333,14.000000,12,1.166667
04Q|MTP,120.000000,31,3.870968,264.000000,31,8.516129,33.000000,31,1.064516
04Q|MVC,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MVL,45.000000,11,4.090909,88.000000,11,8.000000,11.000000,11,1.000000
04Q|MVY,442.000000,111,3.981982,1193.000000,111,10.747748,149.000000,111,1.342342
04Q|MYR,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|N1Y,16.000000,4,4.000000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|N2Y,8.000000,2,4.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|N8C,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|NAD,18.000000,7,2.571429,64.000000,7,9.142857,8.000000,7,1.142857
04Q|NAS,336.000000,67,5.014925,624.000000,67,9.313433,78.000000,67,1.164179
04Q|NEV,24.000000,7,3.428571,56.000000,7,8.000000,7.000000,7,1.000000
04Q|NH6,4.000000,1,4.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|NHZ,16.000000,6,2.666667,48.000000,6,8.000000,6.000000,6,1.000000
04Q|NJ1,30.000000,12,2.500000,96.000000,12,8.000000,12.000000,12,1.000000
04Q|NJ2,9.000000,4,2.250000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|NJ4,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|NJ7,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|NMC,33.000000,5,6.600000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|NPT,110.000000,29,3.793103,264.000000,29,9.103448,33.000000,29,1.137931
04Q|NY1,21.000000,7,3.000000,56.000000,7,8.000000,7.000000,7,1.000000
04Q|NY4,7.000000,1,7.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|NY5,20.000000,6,3.333333,48.000000,6,8.000000,6.000000,6,1.000000
04Q|NY7,36.000000,13,2.769231,128.000000,13,9.846154,16.000000,13,1.230769
04Q|NY9,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
