CARRIER|ORIGIN|REGION,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
04Q|JFK|D,160.000000,33,4.848485,384.000000,33,11.636364,48.000000,33,1.454545
04Q|JGG|D,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|JHW|D,25.000000,7,3.571429,64.000000,7,9.142857,8.000000,7,1.142857
04Q|JRV|D,26.000000,5,5.200000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|JZI|D,5.000000,3,1.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|JZQ|D,10.000000,2,5.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|JZU|D,7.000000,2,3.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|LAL|D,20.000000,5,4.000000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|LAN|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|LBE|D,49.000000,9,5.444444,80.000000,9,8.888889,10.000000,9,1.111111
04Q|LCI|D,89.000000,24,3.708333,232.000000,24,9.666667,29.000000,24,1.208333
04Q|LDJ|D,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|LEB|D,173.000000,47,3.680851,488.000000,47,10.382979,61.000000,47,1.297872
04Q|LEE|D,18.000000,6,3.000000,48.000000,6,8.000000,6.000000,6,1.000000
04Q|LEW|D,23.000000,6,3.833333,56.000000,6,9.333333,7.000000,6,1.166667
04Q|LEX|D,7.000000,3,2.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|LGA|D,268.000000,52,5.153846,600.000000,52,11.538462,75.000000,52,1.442308
04Q|LKP|D,29.000000,8,3.625000,72.000000,8,9.000000,9.000000,8,1.125000
04Q|LLY|D,7.000000,4,1.750000,40.000000,4,10.000000,5.000000,4,1.250000
04Q|LNA|D,27.000000,5,5.400000,48.000000,5,9.600000,6.000000,5,1.200000
04Q|LNK|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|LNS|D,30.000000,11,2.727273,88.000000,11,8.000000,11.000000,11,1.000000
04Q|LRM|D,64.000000,12,5.333333,112.000000,12,9.333333,14.000000,12,1.166667
04Q|LUK|D,5.000000,3,1.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|LWB|D,3.000000,2,1.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|LWM|D,7.000000,5,1.400000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|LYH|D,10.000000,3,3.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|MA1|D,21.000000,3,7.000000,32.000000,3,10.666667,4.000000,3,1.333333
04Q|MA2|D,17.000000,7,2.428571,64.000000,7,9.142857,8.000000,7,1.142857
04Q|MA3|D,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MA4|D,36.000000,9,4.000000,88.000000,9,9.777778,11.000000,9,1.222222
04Q|MA5|D,10.000000,3,3.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|MCN|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MCO|D,59.000000,17,3.470588,144.000000,17,8.470588,18.000000,17,1.058824
04Q|MD1|D,4.000000,3,1.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|MD2|D,5.000000,1,5.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MD3|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MD6|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MDT|D,28.000000,9,3.111111,80.000000,9,8.888889,10.000000,9,1.111111
04Q|MDW|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ME1|D,4.000000,1,4.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ME2|D,12.000000,3,4.000000,24.000000,3,8.000000,3.000000,3,1.000000
04Q|ME3|D,19.000000,4,4.750000,40.000000,4,10.000000,5.000000,4,1.250000
04Q|ME4|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ME5|D,13.000000,3,4.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|MEM|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MFV|D,4.000000,1,4.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MGR|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MGW|D,17.000000,3,5.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|MHH|D,372.000000,45,8.266667,648.000000,45,14.400000,81.000000,45,1.800000
04Q|MHT|D,15.000000,6,2.500000,48.000000,6,8.000000,6.000000,6,1.000000
04Q|MIA|D,128.000000,31,4.129032,336.000000,31,10.838710,42.000000,31,1.354839
04Q|MIV|D,8.000000,2,4.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|MJX|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MLB|D,34.000000,9,3.777778,72.000000,9,8.000000,9.000000,9,1.000000
04Q|MMN|D,6.000000,2,3.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|MMU|D,242.000000,60,4.033333,624.000000,60,10.400000,78.000000,60,1.300000
04Q|MNZ|D,3.000000,2,1.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|MPV|D,21.000000,5,4.200000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|MRK|D,13.000000,3,4.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|MSP|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MSV|D,26.000000,3,8.666667,32.000000,3,10.666667,4.000000,3,1.333333
04Q|MT3|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MTH|D,33.000000,6,5.500000,56.000000,6,9.333333,7.000000,6,1.166667
04Q|MTN|D,37.000000,12,3.083333,112.000000,12,9.333333,14.000000,12,1.166667
04Q|MTP|D,146.000000,33,4.424242,296.000000,33,8.969697,37.000000,33,1.121212
04Q|MVC|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|MVL|D,45.000000,11,4.090909,88.000000,11,8.000000,11.000000,11,1.000000
04Q|MVY|D,3200.000000,141,22.695035,6081.000000,141,43.127660,760.000000,141,5.390071
04Q|MYR|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|N1Y|D,16.000000,4,4.000000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|N2Y|D,8.000000,2,4.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|N8C|D,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|NAD|D,18.000000,7,2.571429,64.000000,7,9.142857,8.000000,7,1.142857
04Q|NAS|D,630.000000,86,7.325581,1136.000000,86,13.209302,142.000000,86,1.651163
04Q|NEV|D,39.000000,8,4.875000,88.000000,8,11.000000,11.000000,8,1.375000
04Q|NH6|D,4.000000,1,4.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|NHZ|D,16.000000,6,2.666667,48.000000,6,8.000000,6.000000,6,1.000000
04Q|NJ1|D,30.000000,12,2.500000,96.000000,12,8.000000,12.000000,12,1.000000
